0,1,2,3,4
36.0,84.0,33.71,23.9,3.0
37.0,84.0,33.71,23.9,3.0
39.0,84.0,33.71,23.9,3.0
38.0,84.0,33.71,23.9,3.0
37.0,84.0,33.71,23.9,3.0
34.0,84.0,33.71,23.9,11.0
37.0,84.0,33.71,23.9,11.0
38.0,84.0,33.71,23.9,11.0
35.0,84.0,33.71,23.9,11.0
23.0,84.0,33.71,23.9,11.0
21.0,84.0,33.71,23.9,11.0
28.0,85.0,33.71,23.9,2.0
31.0,85.0,33.71,23.9,2.0
29.0,85.0,33.71,23.9,2.0
28.0,85.0,33.71,23.9,2.0
26.0,84.0,33.71,23.9,2.0
23.0,84.0,33.71,23.9,2.0
20.0,82.0,33.71,23.9,3.0
19.0,82.0,33.71,23.9,3.0
22.0,82.0,33.71,23.9,3.0
20.0,82.0,33.71,23.9,3.0
22.0,82.0,33.71,23.9,3.0
24.0,82.0,33.71,23.9,3.0
21.0,82.0,33.71,23.9,3.0
24.0,82.0,33.71,23.9,3.0
26.0,83.0,33.71,23.9,3.0
28.0,82.0,33.71,23.9,3.0
31.0,83.0,33.71,23.9,3.0
27.0,82.0,33.71,23.9,3.0
28.0,83.0,33.71,23.9,3.0
33.0,83.0,33.71,23.9,3.0
25.0,83.0,33.71,23.9,3.0
24.0,83.0,33.71,23.9,3.0
26.0,83.0,33.71,23.9,3.0
29.0,84.0,33.71,23.9,3.0
24.0,83.0,33.71,23.9,6.0
26.0,83.0,33.71,23.9,6.0
24.0,83.0,33.71,23.9,6.0
25.0,83.0,33.71,23.9,6.0
27.0,83.0,33.71,23.9,6.0
28.0,84.0,33.71,23.9,6.0
26.0,84.0,33.71,23.9,4.0
28.0,85.0,33.71,23.9,4.0
30.0,84.0,33.71,23.9,4.0
28.0,84.0,33.71,23.9,4.0
29.0,85.0,33.71,23.9,4.0
27.0,85.0,33.71,23.9,4.0
26.0,85.0,33.71,23.9,4.0
26.0,85.0,33.71,23.9,4.0
22.0,85.0,33.71,23.9,4.0
24.0,85.0,33.71,23.9,4.0
23.0,85.0,33.71,23.9,4.0
21.0,85.0,33.72,23.9,4.0
22.0,85.0,33.72,23.9,3.0
24.0,86.0,33.72,23.9,3.0
23.0,86.0,33.72,23.9,3.0
23.0,86.0,33.72,23.9,3.0
23.0,86.0,33.72,23.9,3.0
26.0,86.0,33.72,23.9,3.0
27.0,87.0,33.72,23.9,6.0
28.0,87.0,33.72,23.9,6.0
25.0,88.0,33.72,23.9,6.0
28.0,88.0,33.72,23.9,6.0
28.0,88.0,33.72,23.9,6.0
28.0,88.0,33.72,23.9,6.0
27.0,87.0,33.72,23.9,3.0
28.0,88.0,33.72,23.9,3.0
27.0,88.0,33.72,23.9,3.0
31.0,89.0,33.72,23.9,3.0
35.0,89.0,33.72,23.9,3.0
36.0,89.0,33.72,23.9,3.0
34.0,89.0,33.72,23.9,6.0
32.0,89.0,33.72,23.9,6.0
34.0,89.0,33.72,23.9,6.0
33.0,89.0,33.72,23.9,6.0
37.0,90.0,33.72,23.9,6.0
41.0,89.0,33.72,23.9,6.0
39.0,90.0,33.72,23.9,6.0
42.0,89.0,33.72,23.9,6.0
37.0,90.0,33.72,23.9,6.0
37.0,90.0,33.72,23.9,6.0
